outflow01,outflow02,outflow03,outflow04,outflow05,outflow06,outflow07,outflow08,outflow09,outflow10
152.77,130.35,135.54,143.19,682.67,414.04,371.19,988.73,210.13,279.76
151.13,129.41,134.43,142.22,687.38,403.95,363.85,973.23,207.99,276.47
149.54,128.5,133.37,141.28,692.02,394.23,356.75,957.06,205.89,273.27
148,127.61,132.33,140.34,696.58,384.89,349.9,940.46,203.81,270.15
146.5,126.75,131.33,139.41,701.09,375.91,343.26,923.65,201.77,267.12
145.06,125.96,130.35,138.49,705.53,367.3,336.84,906.77,199.75,264.17
143.66,125.21,129.41,137.58,709.92,359.04,330.63,889.93,197.76,261.28
142.3,124.46,128.49,136.68,714.31,351.13,324.61,873.19,195.8,258.47
140.99,123.72,127.61,135.79,718.74,343.56,318.76,856.58,193.88,255.73
139.72,123,126.75,134.9,723.27,336.3,313.1,840.12,191.98,253.06
138.48,122.3,125.95,134.03,727.91,329.35,307.6,823.82,190.11,250.45
137.29,121.61,125.21,133.16,732.7,322.68,302.26,807.68,188.26,247.9
136.13,120.95,124.46,132.3,737.65,316.3,297.06,791.7,186.44,245.4
135.01,120.31,123.72,131.45,742.76,310.18,292.02,775.88,184.64,242.97
133.92,119.68,123,130.6,748.04,304.31,287.25,760.21,182.87,240.59
132.87,119.08,122.29,129.76,753.48,298.67,282.53,744.68,181.11,238.26
131.85,118.49,121.61,128.93,759.08,293.26,277.93,729.29,179.38,235.98
130.86,117.92,120.95,128.11,764.84,288.21,273.46,714.04,177.68,233.74
129.9,117.37,120.31,127.31,770.74,283.26,269.15,698.92,175.99,231.55
128.97,116.84,119.68,126.52,776.76,278.46,264.97,683.93,174.33,229.41
128.07,116.32,119.08,125.79,782.87,273.79,260.94,669.06,172.68,227.39
127.2,115.82,118.49,125.08,789.06,269.24,257.05,654.3,171.17,225.36
